s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,mvs,meee,mcad,mth,mciv,mba,total
44,CSC,3.27,2,2,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6
45,AVAYA - INTERNSHIP,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,2
46,ORACLE -(UGBU),6,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
47,ORACLE -(CGBU),7.5,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
48,99ACRES.COM,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
49,VERIZON,4.5,2,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
50,ORIENT CEMENT,3.75,0,NA,2,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
51,Dr. REDDY'S LABORATORIES LTD,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
52,DEFTEAM SOLUTIONS PVT. LTD.,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,6
53,JARO EDUCATION,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
54,INFOTECH ENTERPRISES LTD,2.75,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
55,SNEHADEEP FINANCIAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11
56,A and M Signalling Services Pvt. Ltd.,2.5,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
57,ISERVICEGLOBE,3,NA,0,NA,0,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,2
58,PYRO GROUP,3,1,0,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,2
59,GODREJ & BOYCE MFG. CO. LTD,3.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
60,AARVE ASSOCIATES,3.3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2
61,K TREE SOLUTIONS,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
62,NAVJYOTHI COMMODITES,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
63,SAMSUNG R &D,6.5,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
