s_no,company,ppo,ctc,cse,it,ece,eee,mech,prod,civil,chem,bio,mca,mcse,maid,mece,mvs,mpp,mcad,mth,mstr,mba,total
88,Polycab India Ltd,,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
89,Renault Nissan Technology,,5.8,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,1,0,0,NA,NA,NA,1
90,Simplify Workforce Pvt Ltd,25000,8.0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1
91,Azentio,25000,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
92,BizAcuity Soft Engg Role-1,25000,8.0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
93,BizAcuity Soft Engg Role-2,25000,7.0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
94,Constelli,15000,3.5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
95,ChemVeda,,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
96,Apollo24/7,,30.0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
97,Arcesium Ops Specialist Role,,7.0,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
98,Intellipaat,22000,9.0,5,0,4,7,13,2,4,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
99,Medha Servo Drives Pvt Ltd,20000,5.0,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100,Modak,,6.0,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
101,Verity,,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
102,PeopleLink,,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
103,Buro Happold,30000,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2
104,HIL,,4.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
105,GE Appliances,20000,8.0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
106,Synopsys PPO,40000,19.3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
107,Invesco,,10.0,2,1,0,NA,1,0,0,2,,0,0,0,NA,NA,NA,NA,NA,NA,NA,6
